household_id,person_number,puma_area_code,age_years,sex,race_code,education_code,marital_status,wages_income,total_personal_income,income_to_poverty_ratio,employment_status_code
2023HU0078597,3,102,2,1,1,,5,,,501,
2023HU0130513,1,106,25,2,1,21,5,75000,75000,481,1
2023HU0099678,2,102,1,2,2,,5,,,207,
2023HU1443384,1,103,59,2,1,21,1,0,110,501,6
2023HU1038852,3,103,25,1,2,16,5,400,400,108,1
2023GQ0152193,1,102,19,2,9,19,5,6000,6000,,1
2023HU0031673,1,101,28,2,2,16,5,20000,20000,127,1
2023HU0355338,6,102,13,1,8,10,5,,,501,
2023HU0409126,2,104,28,2,1,21,5,30000,39100,253,1
2023HU0056351,3,103,2,1,1,,5,,,285,
2023HU0539631,1,106,64,2,1,24,5,0,106600,501,6
2023HU0147951,1,104,71,2,2,21,3,8000,40000,282,1
2023HU1342808,1,106,85,2,2,19,2,0,2200,15,6
2023HU0387373,1,102,44,2,1,22,1,0,47000,501,1
2023HU0608966,1,103,58,2,2,22,2,104000,104000,501,1
2023HU0315721,1,102,46,2,2,22,5,87000,87000,286,1
2023HU0650931,3,103,27,1,1,21,5,63000,63200,501,1
2023HU0829926,1,106,29,1,1,23,5,136000,136000,501,1
2023HU0819369,1,104,28,2,9,16,5,2200,2200,13,6
2023HU0553305,3,102,0,2,1,,5,,,501,
2023HU0815236,4,102,48,2,2,12,5,0,0,280,6
2023HU0819930,4,105,5,2,1,3,5,,,491,
2023HU0146450,2,101,81,1,1,24,1,0,315800,501,6
2023HU0509718,2,104,52,2,1,16,5,90000,90000,501,1
2023HU0035222,1,102,39,2,2,16,1,0,12500,235,6
2023HU1074732,1,102,36,2,1,23,1,145000,165000,501,1
2023HU0470963,1,106,25,1,1,21,1,107000,128280,501,1
2023HU1290147,5,102,45,1,2,19,3,90000,90000,501,1
2023HU0177504,1,102,35,2,1,22,1,166000,166000,501,1
